run_folder,score_file,modified_at,overall,relevancy,factuality,bert,rouge,similarity,bleurt,medcat,align,score,score_secondary
baseline,baseline/scores.json,2026-03-30 08:58:25,0.3427,0.5344,0.1511,0.6086,0.271,0.9324,0.3257,0.1722,0.1299,,
rag_prompt_qwen3_VL_4B_20260423_010343,rag_prompt_qwen3_VL_4B_20260423_010343/scores.json,2026-04-23 08:19:00,0.3314782671294829,0.5191080484358952,0.1438484858230707,0.6003070261042852,0.2170378992019338,0.9319832041576939,0.32710406427966765,0.15296840525025968,0.1347285663958817,0.5191080484358952,0.1438484858230707
simple_prompt_med15_4B_finetuned_20260422_102940,simple_prompt_med15_4B_finetuned_20260422_102940/scores.json,2026-04-22 17:11:16,0.3302770963091265,0.5119934857013806,0.14856070691687237,0.5876984174249078,0.22827359715004136,0.9249459332573516,0.3070559949732217,0.15414978274715255,0.1429716310865922,0.5119934857013806,0.14856070691687237
rag_base_20260223_204535,rag_base_20260223_204535/scores_20260223_204535.json,2026-03-09 15:59:11,0.3268053440573542,0.4991811753004455,0.15442951281426284,0.5946632573160338,0.22122355301130087,0.8743179049246059,0.3065199859498413,0.14910177422280474,0.15975725140572095,0.4991811753004455,0.15442951281426284
simple_prompt_qwen3_VL_4B_20260422_192239,simple_prompt_qwen3_VL_4B_20260422_192239/scores.json,2026-04-23 10:05:07,0.32525017017292224,0.4869959482542576,0.16350439209158682,0.5801414378033855,0.18258563262617256,0.8783920380255893,0.3068646845618832,0.12969487788274997,0.19731390630042367,0.4869959482542576,0.16350439209158682
simple_prompt_fine_tune_full_20260408_084221,simple_prompt_fine_tune_full_20260408_084221/scores.json,2026-04-09 19:45:12,0.3247872099059827,0.49564618544000394,0.1539282343719615,0.5805381006462472,0.21908412175407294,0.892596679765793,0.29036583959390244,0.14704737694512657,0.1608090917987964,0.49564618544000394,0.1539282343719615
rag_fine_tune_full_20260406_134649,rag_fine_tune_full_20260406_134649/scores.json,2026-04-06 20:18:47,0.3068472173469125,0.48291153341281695,0.13078290128100808,0.5752792343156501,0.19677698493225385,0.8679507057886308,0.29163920861473325,0.1399180557174598,0.12164774684455638,0.48291153341281695,0.13078290128100808
rag_few_shot_20260312_103549,rag_few_shot_20260312_103549/scores.json,2026-03-22 18:40:49,0.30459274653598706,0.47810607015716255,0.13107942291481153,0.5818007803756333,0.20524451137578362,0.835838611772102,0.2895403771051312,0.11264198008369798,0.1495168657459251,0.47810607015716255,0.13107942291481153
few_shot_fine_tuning_full_20260409_093749,few_shot_fine_tuning_full_20260409_093749/scores.json,2026-04-09 19:50:42,0.30406820495196707,0.47847286187687393,0.12966354802706015,0.582001853450792,0.20555311792717954,0.8357585140256106,0.29057796210391357,0.11254968742547417,0.1467774086286461,0.47847286187687393,0.12966354802706015
rag_simple_prompt_20260310_113904,rag_simple_prompt_20260310_113904/scores.json,2026-03-22 18:51:23,0.3032621855544196,0.4570166731535934,0.14950769795524574,0.5680587342057354,0.1834787666715265,0.8133675375108156,0.26316165422629606,0.10280647114102835,0.19620892476946314,0.4570166731535934,0.14950769795524574
rag_fine_tune_5p_20260325_195909,rag_fine_tune_5p_20260325_195909/scores.json,2026-03-26 08:40:45,0.29531570577161526,0.4689795499502962,0.12165186159293426,0.5708558753767901,0.18349490832991142,0.8359733538250991,0.28559406226938455,0.12954020425144297,0.11376351893442553,0.4689795499502962,0.12165186159293426
